Create a new HTML page with a single phrase.;difficulty
Create a new HTML page with a single paragraph.;1
Implement a simple login form using HTML and CSS.;1
Design a basic database schema with three tables.;2
Write a function to calculate the factorial of a number in Python.;2
Develop a responsive website layout with HTML, CSS, and Bootstrap.;3
Create a CRUD application using PHP and MySQL.;3
Implement user authentication and authorization in a web application.;5
Optimize a SQL query involving multiple joins and subqueries.;5
Develop a RESTful API using Node.js and Express framework.;8
Implement real-time features using WebSockets in a web application.;8
Design and implement a scalable microservices architecture.;13
Optimize performance of a distributed system with millions of users.;13
Create a static website using only HTML and CSS.;1
Write a simple Hello, World! program in Java.;1
Design a wireframe for a mobile app with basic functionalities.;2
Implement a stack data structure using arrays in C.;2
Style a webpage using CSS Grid layout.;3
Create a basic CRUD functionality with Flask and SQLite.;3
Implement OAuth 2.0 for third-party authentication in a web app.;5
Optimize database indexes for improved query performance.;5
Develop a GraphQL API with Apollo Server in Node.js.;8
Build a real-time chat application using Socket.IO.;8
Design and implement a scalable distributed fault-tolerant system.;13
Optimize the scalability of a cloud-based infrastructure.;13
Create a simple form validation using JavaScript.;1
Implement a basic CRUD application with Laravel and MySQL.;2
Design a relational database schema for an e-commerce website.;3
Write a recursive function to compute Fibonacci series in Python.;5
Develop a RESTful API with authentication and authorization.;8
Implement real-time data synchronization using WebSockets.;13
Create a landing page with a responsive design using Bootstrap.;1
Write a program to sort an array using bubble sort algorithm.;2
Design a class hierarchy for a simple banking system.;3
Implement session management in a web application using cookies.;5
Optimize database queries using query execution plans.;8
Design and implement a scalable distributed cache system.;13
Create a navigation menu using HTML and CSS.;1
Implement a basic CRUD application with Django.;2
Develop a data model for a social media platform.;3
Write a program to implement a binary search tree in Java.;5
Implement two-factor authentication for user login.;8
Optimize database performance using indexing and query optimization.;13
Create a responsive image gallery using CSS Flexbox.;1
Build a RESTful API with Flask and SQLAlchemy ORM.;2
Design a relational database schema for a blog platform.;3
Write a recursive function to solve the Tower of Hanoi problem.;5
Implement role-based access control in a web application.;8
Design and implement a distributed file storage system.;13
Create a simple JavaScript calculator with basic operations.;1
Develop a web application with Django and PostgreSQL.;2
Design a data warehouse schema for business intelligence.;3
Write a program to implement insertion sort in C.;5
Implement multi-factor authentication using SMS and email.;8
Optimize database performance by denormalization and caching.;13
Build a responsive navigation bar using HTML and CSS.;1
Create a CRUD API using Express.js and MongoDB.;2
Design a database schema for a music streaming service.;3
Write a program to implement quicksort algorithm in Python.;5
Implement password hashing and salting for user security.;8
Design and implement a scalable message queuing system.;13
Create a simple slideshow using HTML, CSS, and JavaScript.;1
Develop a RESTful API with authentication using Flask.;2
Design a database schema for a hotel reservation system.;3
Write a program to implement merge sort in Java.;5
Implement single sign-on (SSO) for multiple web applications.;8
Optimize database performance using partitioning and sharding.;13
Create a responsive carousel/slider using HTML, CSS, and JavaScript.;1
Develop a RESTful API with Node.js and MongoDB.;2
Design a database schema for a ticket booking system.;3
Write a program to implement radix sort in Python.;5
Implement social login (OAuth) for user authentication.;8
Optimize database performance by vertical and horizontal scaling.;13
Build a responsive dropdown menu using HTML and CSS.;1
Create a blog application with CRUD functionality using Django.;2
Design a database schema for a content management system.;3
Write a program to implement shell sort in Java.;5
Implement multi-level caching for improved performance.;8
Design and implement a distributed session management system.;13
Create a simple animated loader using CSS and JavaScript.;1
Develop a RESTful API with authentication using Express.js.;2
Design a database schema for a healthcare management system.;3
Write a program to implement bucket sort in C.;5
Implement JSON Web Tokens (JWT) for secure authentication.;8
Optimize database performance using materialized views.;13
Build a responsive modal popup using HTML, CSS, and JavaScript.;1
Create a file upload feature with validation using Node.js.;2
Design a database schema for a school management system.;3
Write a program to implement heap sort in Python.;5
Implement account locking and unlocking for security.;8
Design and implement a distributed job scheduling system.;13
Create a CSS-only animated navigation menu.;1
Develop a file storage service using Express.js and MongoDB.;2
Design a database schema for an e-learning platform.;3
Write a program to implement cocktail sort in Java.;5
Implement CAPTCHA for preventing automated form submissions.;8
Optimize database performance using query optimization techniques.;13
Build a responsive accordion using HTML, CSS, and JavaScript.;1
Create a RESTful API for a blogging platform with authentication.;2
Design a database schema for a customer relationship management system.;3
Write a program to implement gnome sort in Java.;5
Implement secure cross-site request forgery (CSRF) protection.;8
Design and implement a distributed file synchronization system.;13
Create a simple CSS loading spinner animation.;1
Develop a chat application using Socket.IO and MongoDB.;2
Design a database schema for a human resources management system.;3
Write a program to implement comb sort in Python.;5
Implement secure file uploads with virus scanning.;8
Design and implement a distributed task queue system.;13
Build a responsive toggle switch using HTML, CSS, and JavaScript.;1
Create a user authentication system with JWT and bcrypt.;2
Design a database schema for a library management system.;3
Write a program to implement counting sort in C.;5
Implement IP whitelisting for enhanced security.;8
Design and implement a distributed file synchronization system.;13
